State,Year English Declared,Year,English Declared
Alabama,1990,2000,0
Alabama,1990,2001,0
Alabama,1990,2002,0
Alabama,1990,2003,0
Alabama,1990,2004,0
Alabama,1990,2005,0
Alabama,1990,2006,0
Alabama,1990,2007,0
Alabama,1990,2008,0
Alabama,1990,2009,0
Alabama,1990,2010,0
Alabama,1990,2011,0
Alabama,1990,2012,0
Alabama,1990,2013,0
Alabama,1990,2014,0
Alabama,1990,2015,0
Alaska,1998,2000,0
Alaska,1998,2001,0
Alaska,1998,2002,0
Alaska,1998,2003,0
Alaska,1998,2004,0
Alaska,1998,2005,0
Alaska,1998,2006,0
Alaska,1998,2007,0
Alaska,1998,2008,0
Alaska,1998,2009,0
Alaska,1998,2010,0
Alaska,1998,2011,0
Alaska,1998,2012,0
Alaska,1998,2013,0
Alaska,1998,2014,0
Alaska,1998,2015,0
Arizona,2006,2000,1
Arizona,2006,2001,1
Arizona,2006,2002,1
Arizona,2006,2003,1
Arizona,2006,2004,1
Arizona,2006,2005,1
Arizona,2006,2006,0
Arizona,2006,2007,0
Arizona,2006,2008,0
Arizona,2006,2009,0
Arizona,2006,2010,0
Arizona,2006,2011,0
Arizona,2006,2012,0
Arizona,2006,2013,0
Arizona,2006,2014,0
Arizona,2006,2015,0
Arkansas,1987,2000,0
Arkansas,1987,2001,0
Arkansas,1987,2002,0
Arkansas,1987,2003,0
Arkansas,1987,2004,0
Arkansas,1987,2005,0
Arkansas,1987,2006,0
Arkansas,1987,2007,0
Arkansas,1987,2008,0
Arkansas,1987,2009,0
Arkansas,1987,2010,0
Arkansas,1987,2011,0
Arkansas,1987,2012,0
Arkansas,1987,2013,0
Arkansas,1987,2014,0
Arkansas,1987,2015,0
California,1986,2000,0
California,1986,2001,0
California,1986,2002,0
California,1986,2003,0
California,1986,2004,0
California,1986,2005,0
California,1986,2006,0
California,1986,2007,0
California,1986,2008,0
California,1986,2009,0
California,1986,2010,0
California,1986,2011,0
California,1986,2012,0
California,1986,2013,0
California,1986,2014,0
California,1986,2015,0
Colorado,1988,2000,0
Colorado,1988,2001,0
Colorado,1988,2002,0
Colorado,1988,2003,0
Colorado,1988,2004,0
Colorado,1988,2005,0
Colorado,1988,2006,0
Colorado,1988,2007,0
Colorado,1988,2008,0
Colorado,1988,2009,0
Colorado,1988,2010,0
Colorado,1988,2011,0
Colorado,1988,2012,0
Colorado,1988,2013,0
Colorado,1988,2014,0
Colorado,1988,2015,0
Connecticut,,2000,1
Connecticut,,2001,1
Connecticut,,2002,1
Connecticut,,2003,1
Connecticut,,2004,1
Connecticut,,2005,1
Connecticut,,2006,1
Connecticut,,2007,1
Connecticut,,2008,1
Connecticut,,2009,1
Connecticut,,2010,1
Connecticut,,2011,1
Connecticut,,2012,1
Connecticut,,2013,1
Connecticut,,2014,1
Connecticut,,2015,1
Delaware,,2000,1
Delaware,,2001,1
Delaware,,2002,1
Delaware,,2003,1
Delaware,,2004,1
Delaware,,2005,1
Delaware,,2006,1
Delaware,,2007,1
Delaware,,2008,1
Delaware,,2009,1
Delaware,,2010,1
Delaware,,2011,1
Delaware,,2012,1
Delaware,,2013,1
Delaware,,2014,1
Delaware,,2015,1
District of Columbia,,2000,1
District of Columbia,,2001,1
District of Columbia,,2002,1
District of Columbia,,2003,1
District of Columbia,,2004,1
District of Columbia,,2005,1
District of Columbia,,2006,1
District of Columbia,,2007,1
District of Columbia,,2008,1
District of Columbia,,2009,1
District of Columbia,,2010,1
District of Columbia,,2011,1
District of Columbia,,2012,1
District of Columbia,,2013,1
District of Columbia,,2014,1
District of Columbia,,2015,1
Florida,1988,2000,0
Florida,1988,2001,0
Florida,1988,2002,0
Florida,1988,2003,0
Florida,1988,2004,0
Florida,1988,2005,0
Florida,1988,2006,0
Florida,1988,2007,0
Florida,1988,2008,0
Florida,1988,2009,0
Florida,1988,2010,0
Florida,1988,2011,0
Florida,1988,2012,0
Florida,1988,2013,0
Florida,1988,2014,0
Florida,1988,2015,0
Georgia,1986,2000,0
Georgia,1986,2001,0
Georgia,1986,2002,0
Georgia,1986,2003,0
Georgia,1986,2004,0
Georgia,1986,2005,0
Georgia,1986,2006,0
Georgia,1986,2007,0
Georgia,1986,2008,0
Georgia,1986,2009,0
Georgia,1986,2010,0
Georgia,1986,2011,0
Georgia,1986,2012,0
Georgia,1986,2013,0
Georgia,1986,2014,0
Georgia,1986,2015,0
Hawaii,1978,2000,0
Hawaii,1978,2001,0
Hawaii,1978,2002,0
Hawaii,1978,2003,0
Hawaii,1978,2004,0
Hawaii,1978,2005,0
Hawaii,1978,2006,0
Hawaii,1978,2007,0
Hawaii,1978,2008,0
Hawaii,1978,2009,0
Hawaii,1978,2010,0
Hawaii,1978,2011,0
Hawaii,1978,2012,0
Hawaii,1978,2013,0
Hawaii,1978,2014,0
Hawaii,1978,2015,0
Idaho,2007,2000,1
Idaho,2007,2001,1
Idaho,2007,2002,1
Idaho,2007,2003,1
Idaho,2007,2004,1
Idaho,2007,2005,1
Idaho,2007,2006,1
Idaho,2007,2007,0
Idaho,2007,2008,0
Idaho,2007,2009,0
Idaho,2007,2010,0
Idaho,2007,2011,0
Idaho,2007,2012,0
Idaho,2007,2013,0
Idaho,2007,2014,0
Idaho,2007,2015,0
Illinois,1969,2000,0
Illinois,1969,2001,0
Illinois,1969,2002,0
Illinois,1969,2003,0
Illinois,1969,2004,0
Illinois,1969,2005,0
Illinois,1969,2006,0
Illinois,1969,2007,0
Illinois,1969,2008,0
Illinois,1969,2009,0
Illinois,1969,2010,0
Illinois,1969,2011,0
Illinois,1969,2012,0
Illinois,1969,2013,0
Illinois,1969,2014,0
Illinois,1969,2015,0
Indiana,1984,2000,0
Indiana,1984,2001,0
Indiana,1984,2002,0
Indiana,1984,2003,0
Indiana,1984,2004,0
Indiana,1984,2005,0
Indiana,1984,2006,0
Indiana,1984,2007,0
Indiana,1984,2008,0
Indiana,1984,2009,0
Indiana,1984,2010,0
Indiana,1984,2011,0
Indiana,1984,2012,0
Indiana,1984,2013,0
Indiana,1984,2014,0
Indiana,1984,2015,0
Iowa,2002,2000,1
Iowa,2002,2001,1
Iowa,2002,2002,0
Iowa,2002,2003,0
Iowa,2002,2004,0
Iowa,2002,2005,0
Iowa,2002,2006,0
Iowa,2002,2007,0
Iowa,2002,2008,0
Iowa,2002,2009,0
Iowa,2002,2010,0
Iowa,2002,2011,0
Iowa,2002,2012,0
Iowa,2002,2013,0
Iowa,2002,2014,0
Iowa,2002,2015,0
Kansas,2007,2000,1
Kansas,2007,2001,1
Kansas,2007,2002,1
Kansas,2007,2003,1
Kansas,2007,2004,1
Kansas,2007,2005,1
Kansas,2007,2006,1
Kansas,2007,2007,0
Kansas,2007,2008,0
Kansas,2007,2009,0
Kansas,2007,2010,0
Kansas,2007,2011,0
Kansas,2007,2012,0
Kansas,2007,2013,0
Kansas,2007,2014,0
Kansas,2007,2015,0
Kentucky,1984,2000,0
Kentucky,1984,2001,0
Kentucky,1984,2002,0
Kentucky,1984,2003,0
Kentucky,1984,2004,0
Kentucky,1984,2005,0
Kentucky,1984,2006,0
Kentucky,1984,2007,0
Kentucky,1984,2008,0
Kentucky,1984,2009,0
Kentucky,1984,2010,0
Kentucky,1984,2011,0
Kentucky,1984,2012,0
Kentucky,1984,2013,0
Kentucky,1984,2014,0
Kentucky,1984,2015,0
Louisiana,1807,2000,0
Louisiana,1807,2001,0
Louisiana,1807,2002,0
Louisiana,1807,2003,0
Louisiana,1807,2004,0
Louisiana,1807,2005,0
Louisiana,1807,2006,0
Louisiana,1807,2007,0
Louisiana,1807,2008,0
Louisiana,1807,2009,0
Louisiana,1807,2010,0
Louisiana,1807,2011,0
Louisiana,1807,2012,0
Louisiana,1807,2013,0
Louisiana,1807,2014,0
Louisiana,1807,2015,0
Maine,,2000,1
Maine,,2001,1
Maine,,2002,1
Maine,,2003,1
Maine,,2004,1
Maine,,2005,1
Maine,,2006,1
Maine,,2007,1
Maine,,2008,1
Maine,,2009,1
Maine,,2010,1
Maine,,2011,1
Maine,,2012,1
Maine,,2013,1
Maine,,2014,1
Maine,,2015,1
Maryland,,2000,1
Maryland,,2001,1
Maryland,,2002,1
Maryland,,2003,1
Maryland,,2004,1
Maryland,,2005,1
Maryland,,2006,1
Maryland,,2007,1
Maryland,,2008,1
Maryland,,2009,1
Maryland,,2010,1
Maryland,,2011,1
Maryland,,2012,1
Maryland,,2013,1
Maryland,,2014,1
Maryland,,2015,1
Massachusetts,1975,2000,0
Massachusetts,1975,2001,0
Massachusetts,1975,2002,0
Massachusetts,1975,2003,0
Massachusetts,1975,2004,0
Massachusetts,1975,2005,0
Massachusetts,1975,2006,0
Massachusetts,1975,2007,0
Massachusetts,1975,2008,0
Massachusetts,1975,2009,0
Massachusetts,1975,2010,0
Massachusetts,1975,2011,0
Massachusetts,1975,2012,0
Massachusetts,1975,2013,0
Massachusetts,1975,2014,0
Massachusetts,1975,2015,0
Michigan,,2000,1
Michigan,,2001,1
Michigan,,2002,1
Michigan,,2003,1
Michigan,,2004,1
Michigan,,2005,1
Michigan,,2006,1
Michigan,,2007,1
Michigan,,2008,1
Michigan,,2009,1
Michigan,,2010,1
Michigan,,2011,1
Michigan,,2012,1
Michigan,,2013,1
Michigan,,2014,1
Michigan,,2015,1
Minnesota,,2000,1
Minnesota,,2001,1
Minnesota,,2002,1
Minnesota,,2003,1
Minnesota,,2004,1
Minnesota,,2005,1
Minnesota,,2006,1
Minnesota,,2007,1
Minnesota,,2008,1
Minnesota,,2009,1
Minnesota,,2010,1
Minnesota,,2011,1
Minnesota,,2012,1
Minnesota,,2013,1
Minnesota,,2014,1
Minnesota,,2015,1
Mississippi,1987,2000,0
Mississippi,1987,2001,0
Mississippi,1987,2002,0
Mississippi,1987,2003,0
Mississippi,1987,2004,0
Mississippi,1987,2005,0
Mississippi,1987,2006,0
Mississippi,1987,2007,0
Mississippi,1987,2008,0
Mississippi,1987,2009,0
Mississippi,1987,2010,0
Mississippi,1987,2011,0
Mississippi,1987,2012,0
Mississippi,1987,2013,0
Mississippi,1987,2014,0
Mississippi,1987,2015,0
Missouri,2008,2000,1
Missouri,2008,2001,1
Missouri,2008,2002,1
Missouri,2008,2003,1
Missouri,2008,2004,1
Missouri,2008,2005,1
Missouri,2008,2006,1
Missouri,2008,2007,1
Missouri,2008,2008,0
Missouri,2008,2009,0
Missouri,2008,2010,0
Missouri,2008,2011,0
Missouri,2008,2012,0
Missouri,2008,2013,0
Missouri,2008,2014,0
Missouri,2008,2015,0
Montana,1995,2000,0
Montana,1995,2001,0
Montana,1995,2002,0
Montana,1995,2003,0
Montana,1995,2004,0
Montana,1995,2005,0
Montana,1995,2006,0
Montana,1995,2007,0
Montana,1995,2008,0
Montana,1995,2009,0
Montana,1995,2010,0
Montana,1995,2011,0
Montana,1995,2012,0
Montana,1995,2013,0
Montana,1995,2014,0
Montana,1995,2015,0
Nebraska,1920,2000,0
Nebraska,1920,2001,0
Nebraska,1920,2002,0
Nebraska,1920,2003,0
Nebraska,1920,2004,0
Nebraska,1920,2005,0
Nebraska,1920,2006,0
Nebraska,1920,2007,0
Nebraska,1920,2008,0
Nebraska,1920,2009,0
Nebraska,1920,2010,0
Nebraska,1920,2011,0
Nebraska,1920,2012,0
Nebraska,1920,2013,0
Nebraska,1920,2014,0
Nebraska,1920,2015,0
Nevada,,2000,1
Nevada,,2001,1
Nevada,,2002,1
Nevada,,2003,1
Nevada,,2004,1
Nevada,,2005,1
Nevada,,2006,1
Nevada,,2007,1
Nevada,,2008,1
Nevada,,2009,1
Nevada,,2010,1
Nevada,,2011,1
Nevada,,2012,1
Nevada,,2013,1
Nevada,,2014,1
Nevada,,2015,1
New Hampshire,1995,2000,0
New Hampshire,1995,2001,0
New Hampshire,1995,2002,0
New Hampshire,1995,2003,0
New Hampshire,1995,2004,0
New Hampshire,1995,2005,0
New Hampshire,1995,2006,0
New Hampshire,1995,2007,0
New Hampshire,1995,2008,0
New Hampshire,1995,2009,0
New Hampshire,1995,2010,0
New Hampshire,1995,2011,0
New Hampshire,1995,2012,0
New Hampshire,1995,2013,0
New Hampshire,1995,2014,0
New Hampshire,1995,2015,0
New Jersey,,2000,1
New Jersey,,2001,1
New Jersey,,2002,1
New Jersey,,2003,1
New Jersey,,2004,1
New Jersey,,2005,1
New Jersey,,2006,1
New Jersey,,2007,1
New Jersey,,2008,1
New Jersey,,2009,1
New Jersey,,2010,1
New Jersey,,2011,1
New Jersey,,2012,1
New Jersey,,2013,1
New Jersey,,2014,1
New Jersey,,2015,1
New Mexico,,2000,1
New Mexico,,2001,1
New Mexico,,2002,1
New Mexico,,2003,1
New Mexico,,2004,1
New Mexico,,2005,1
New Mexico,,2006,1
New Mexico,,2007,1
New Mexico,,2008,1
New Mexico,,2009,1
New Mexico,,2010,1
New Mexico,,2011,1
New Mexico,,2012,1
New Mexico,,2013,1
New Mexico,,2014,1
New Mexico,,2015,1
New York,,2000,1
New York,,2001,1
New York,,2002,1
New York,,2003,1
New York,,2004,1
New York,,2005,1
New York,,2006,1
New York,,2007,1
New York,,2008,1
New York,,2009,1
New York,,2010,1
New York,,2011,1
New York,,2012,1
New York,,2013,1
New York,,2014,1
New York,,2015,1
North Carolina,1987,2000,0
North Carolina,1987,2001,0
North Carolina,1987,2002,0
North Carolina,1987,2003,0
North Carolina,1987,2004,0
North Carolina,1987,2005,0
North Carolina,1987,2006,0
North Carolina,1987,2007,0
North Carolina,1987,2008,0
North Carolina,1987,2009,0
North Carolina,1987,2010,0
North Carolina,1987,2011,0
North Carolina,1987,2012,0
North Carolina,1987,2013,0
North Carolina,1987,2014,0
North Carolina,1987,2015,0
North Dakota,1987,2000,0
North Dakota,1987,2001,0
North Dakota,1987,2002,0
North Dakota,1987,2003,0
North Dakota,1987,2004,0
North Dakota,1987,2005,0
North Dakota,1987,2006,0
North Dakota,1987,2007,0
North Dakota,1987,2008,0
North Dakota,1987,2009,0
North Dakota,1987,2010,0
North Dakota,1987,2011,0
North Dakota,1987,2012,0
North Dakota,1987,2013,0
North Dakota,1987,2014,0
North Dakota,1987,2015,0
Ohio,,2000,1
Ohio,,2001,1
Ohio,,2002,1
Ohio,,2003,1
Ohio,,2004,1
Ohio,,2005,1
Ohio,,2006,1
Ohio,,2007,1
Ohio,,2008,1
Ohio,,2009,1
Ohio,,2010,1
Ohio,,2011,1
Ohio,,2012,1
Ohio,,2013,1
Ohio,,2014,1
Ohio,,2015,1
Oklahoma,2010,2000,1
Oklahoma,2010,2001,1
Oklahoma,2010,2002,1
Oklahoma,2010,2003,1
Oklahoma,2010,2004,1
Oklahoma,2010,2005,1
Oklahoma,2010,2006,1
Oklahoma,2010,2007,1
Oklahoma,2010,2008,1
Oklahoma,2010,2009,1
Oklahoma,2010,2010,0
Oklahoma,2010,2011,0
Oklahoma,2010,2012,0
Oklahoma,2010,2013,0
Oklahoma,2010,2014,0
Oklahoma,2010,2015,0
Oregon,,2000,1
Oregon,,2001,1
Oregon,,2002,1
Oregon,,2003,1
Oregon,,2004,1
Oregon,,2005,1
Oregon,,2006,1
Oregon,,2007,1
Oregon,,2008,1
Oregon,,2009,1
Oregon,,2010,1
Oregon,,2011,1
Oregon,,2012,1
Oregon,,2013,1
Oregon,,2014,1
Oregon,,2015,1
Pennsylvania,,2000,1
Pennsylvania,,2001,1
Pennsylvania,,2002,1
Pennsylvania,,2003,1
Pennsylvania,,2004,1
Pennsylvania,,2005,1
Pennsylvania,,2006,1
Pennsylvania,,2007,1
Pennsylvania,,2008,1
Pennsylvania,,2009,1
Pennsylvania,,2010,1
Pennsylvania,,2011,1
Pennsylvania,,2012,1
Pennsylvania,,2013,1
Pennsylvania,,2014,1
Pennsylvania,,2015,1
Rhode Island,,2000,1
Rhode Island,,2001,1
Rhode Island,,2002,1
Rhode Island,,2003,1
Rhode Island,,2004,1
Rhode Island,,2005,1
Rhode Island,,2006,1
Rhode Island,,2007,1
Rhode Island,,2008,1
Rhode Island,,2009,1
Rhode Island,,2010,1
Rhode Island,,2011,1
Rhode Island,,2012,1
Rhode Island,,2013,1
Rhode Island,,2014,1
Rhode Island,,2015,1
South Carolina,1987,2000,0
South Carolina,1987,2001,0
South Carolina,1987,2002,0
South Carolina,1987,2003,0
South Carolina,1987,2004,0
South Carolina,1987,2005,0
South Carolina,1987,2006,0
South Carolina,1987,2007,0
South Carolina,1987,2008,0
South Carolina,1987,2009,0
South Carolina,1987,2010,0
South Carolina,1987,2011,0
South Carolina,1987,2012,0
South Carolina,1987,2013,0
South Carolina,1987,2014,0
South Carolina,1987,2015,0
South Dakota,1995,2000,0
South Dakota,1995,2001,0
South Dakota,1995,2002,0
South Dakota,1995,2003,0
South Dakota,1995,2004,0
South Dakota,1995,2005,0
South Dakota,1995,2006,0
South Dakota,1995,2007,0
South Dakota,1995,2008,0
South Dakota,1995,2009,0
South Dakota,1995,2010,0
South Dakota,1995,2011,0
South Dakota,1995,2012,0
South Dakota,1995,2013,0
South Dakota,1995,2014,0
South Dakota,1995,2015,0
Tennessee,1984,2000,0
Tennessee,1984,2001,0
Tennessee,1984,2002,0
Tennessee,1984,2003,0
Tennessee,1984,2004,0
Tennessee,1984,2005,0
Tennessee,1984,2006,0
Tennessee,1984,2007,0
Tennessee,1984,2008,0
Tennessee,1984,2009,0
Tennessee,1984,2010,0
Tennessee,1984,2011,0
Tennessee,1984,2012,0
Tennessee,1984,2013,0
Tennessee,1984,2014,0
Tennessee,1984,2015,0
Texas,,2000,1
Texas,,2001,1
Texas,,2002,1
Texas,,2003,1
Texas,,2004,1
Texas,,2005,1
Texas,,2006,1
Texas,,2007,1
Texas,,2008,1
Texas,,2009,1
Texas,,2010,1
Texas,,2011,1
Texas,,2012,1
Texas,,2013,1
Texas,,2014,1
Texas,,2015,1
Utah,2000,2000,0
Utah,2000,2001,0
Utah,2000,2002,0
Utah,2000,2003,0
Utah,2000,2004,0
Utah,2000,2005,0
Utah,2000,2006,0
Utah,2000,2007,0
Utah,2000,2008,0
Utah,2000,2009,0
Utah,2000,2010,0
Utah,2000,2011,0
Utah,2000,2012,0
Utah,2000,2013,0
Utah,2000,2014,0
Utah,2000,2015,0
Vermont,,2000,1
Vermont,,2001,1
Vermont,,2002,1
Vermont,,2003,1
Vermont,,2004,1
Vermont,,2005,1
Vermont,,2006,1
Vermont,,2007,1
Vermont,,2008,1
Vermont,,2009,1
Vermont,,2010,1
Vermont,,2011,1
Vermont,,2012,1
Vermont,,2013,1
Vermont,,2014,1
Vermont,,2015,1
Virginia,1981,2000,0
Virginia,1981,2001,0
Virginia,1981,2002,0
Virginia,1981,2003,0
Virginia,1981,2004,0
Virginia,1981,2005,0
Virginia,1981,2006,0
Virginia,1981,2007,0
Virginia,1981,2008,0
Virginia,1981,2009,0
Virginia,1981,2010,0
Virginia,1981,2011,0
Virginia,1981,2012,0
Virginia,1981,2013,0
Virginia,1981,2014,0
Virginia,1981,2015,0
Washington,,2000,1
Washington,,2001,1
Washington,,2002,1
Washington,,2003,1
Washington,,2004,1
Washington,,2005,1
Washington,,2006,1
Washington,,2007,1
Washington,,2008,1
Washington,,2009,1
Washington,,2010,1
Washington,,2011,1
Washington,,2012,1
Washington,,2013,1
Washington,,2014,1
Washington,,2015,1
West Virginia,2016,2000,1
West Virginia,2016,2001,1
West Virginia,2016,2002,1
West Virginia,2016,2003,1
West Virginia,2016,2004,1
West Virginia,2016,2005,1
West Virginia,2016,2006,1
West Virginia,2016,2007,1
West Virginia,2016,2008,1
West Virginia,2016,2009,1
West Virginia,2016,2010,1
West Virginia,2016,2011,1
West Virginia,2016,2012,1
West Virginia,2016,2013,1
West Virginia,2016,2014,1
West Virginia,2016,2015,1
Wisconsin,,2000,1
Wisconsin,,2001,1
Wisconsin,,2002,1
Wisconsin,,2003,1
Wisconsin,,2004,1
Wisconsin,,2005,1
Wisconsin,,2006,1
Wisconsin,,2007,1
Wisconsin,,2008,1
Wisconsin,,2009,1
Wisconsin,,2010,1
Wisconsin,,2011,1
Wisconsin,,2012,1
Wisconsin,,2013,1
Wisconsin,,2014,1
Wisconsin,,2015,1
Wyoming,1996,2000,0
Wyoming,1996,2001,0
Wyoming,1996,2002,0
Wyoming,1996,2003,0
Wyoming,1996,2004,0
Wyoming,1996,2005,0
Wyoming,1996,2006,0
Wyoming,1996,2007,0
Wyoming,1996,2008,0
Wyoming,1996,2009,0
Wyoming,1996,2010,0
Wyoming,1996,2011,0
Wyoming,1996,2012,0
Wyoming,1996,2013,0
Wyoming,1996,2014,0
Wyoming,1996,2015,0
